ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	vlan	inner_vlan
1476748811.378841	CVOdwZSc0s4C3GIjc	172.17.3.200	36563	155.19.62.153	8090	tcp	http	0.003673	55	1620	RSTO	T	F	1396	ShADdR	7	427	2	337	(empty)	162	-
1476748516.396199	Cj6bSd3eZTEtlWeA04	172.17.3.200	59700	155.19.62.148	9440	tcp	http	0.002165	55	2158	SF	T	F	0	ShADTadfFF	13	794	7	2530	(empty)	365	-
1476748516.396077	C3F0r24TfmJlf5vBXh	172.17.3.200	43381	155.19.62.153	8090	tcp	-	0.002986	55	28	OTH	T	F	0	SDdAa	3	219	2	131	(empty)	365	-
1476748811.486769	CJ5eEr3l8fLNaq6UI8	155.19.59.179	64493	155.29.177.139	5723	tcp	-	-	-	-	S0	F	F	0	S	1	52	0	0	(empty)	176	-
1476748816.491619	CY5omB1oHP9nSRX2Ml	172.17.3.200	6461	155.19.62.148	9140	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748516.540882	Cqgmkf4kDKbEzCTN2d	172.17.3.201	55251	155.19.62.150	9190	tcp	http	0.002364	55	2158	SF	T	F	0	ShADadfF	7	427	7	2530	(empty)	365	-
1476748816.595694	CawmbH3F8gy9WnWRc2	172.17.3.200	19279	155.19.62.148	9090	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748806.633259	CRilSAWvne8uObjg7	155.19.59.171	40472	214.3.88.60	53	udp	dns	0.000585	40	97	SF	F	F	0	Dd	1	68	1	125	(empty)	366	-
1476748806.634385	CycsyW2sHAGHMBYXA	155.19.59.171	49886	214.3.88.60	53	udp	dns	0.000537	56	113	SF	F	F	0	Dd	1	84	1	141	(empty)	366	-
1476748806.635336	COON9e4CUyAs3n7jJb	155.19.59.171	40545	214.3.88.60	53	udp	dns	0.000547	40	56	SF	F	F	0	Dd	1	68	1	84	(empty)	366	-
1476748516.642986	C88hjG14vuSxpDu0Ol	172.17.3.200	28582	155.19.62.148	9090	tcp	http	0.002111	55	2158	SF	T	F	0	ShADadfF	7	427	7	2530	(empty)	365	-
1476748516.643815	CQVuhJ1KHSv4dTWro5	172.17.3.201	37892	155.19.62.82	9090	tcp	-	0.001893	0	4294967296	SF	T	F	0	ShAFff	4	216	4	224	(empty)	361	-
1476748811.665602	C0O3nb1smhn7cAWiTd	172.17.3.201	34181	155.19.62.148	9240	tcp	http	0.002144	55	2158	RSTO	T	F	0	ShADTadfRR	13	794	6	2478	(empty)	365	-
1476748816.689412	CvC8hi2Kmni02taxVa	172.17.3.200	51734	155.19.62.152	8090	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748816.691243	CSUdOi3YO4GTOvqI9h	172.17.3.201	58777	155.19.62.148	9240	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748806.705090	CRC7Qm4jokJWvjVPqf	155.19.59.5	55376	214.3.88.60	53	udp	dns	-	-	-	SHR	F	F	0	^d	0	0	1	161	(empty)	10	-
1476748806.715598	CUaVyr1rdm6hFUp7Oc	155.19.62.131	59101	214.3.88.60	53	udp	dns	0.000915	80	97	SF	F	F	0	Dd	2	136	1	125	(empty)	364	-
1476748806.716915	CPIJjX3ehN5X203C2b	155.19.62.131	18599	214.3.88.60	53	udp	dns	0.001091	112	113	SF	F	F	0	Dd	2	168	1	141	(empty)	364	-
1476748806.718412	CgiMMK15EmkISKUGf7	155.19.62.131	38990	214.3.88.60	53	udp	dns	0.000563	40	56	SF	F	F	0	Dd	1	68	1	84	(empty)	364	-
1476748811.731996	Cia9KkGMITfZL4td7	172.17.3.200	29855	155.19.62.152	8090	tcp	http	0.004665	55	1620	RSTO	T	F	0	ShADadfR	7	427	6	1940	(empty)	365	-
1476748811.767238	Cqbtok41TvCv5i3sbl	172.17.3.201	8655	155.19.62.148	9340	tcp	http	0.001984	55	2158	RSTO	T	F	0	ShADTadfRR	13	794	6	2478	(empty)	365	-
1476748816.792720	CUmRnv1XIdEUa4RAw5	172.17.3.201	55498	155.19.62.148	9340	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748811.835519	CDKlACeiRFOEnO1qc	172.17.3.200	45074	155.19.62.85	8090	tcp	-	0.002345	55	4294969329	SF	T	F	0	ShADadtfF	6	375	10	3009	(empty)	361	-
1476748794.824312	CRCjzE1Mllw8D1I7Y6	147.248.1.44	49202	155.19.62.92	49154	tcp	-	17.033558	6646	124910404	SF	F	F	0	SADaTdtFf	42	8638	40	7317	(empty)	361	-
1476748516.862136	Cu66Qmr08fcb4lmGa	172.17.3.201	18155	155.19.62.149	9240	tcp	-	0.003848	889087205	2159	S2	T	F	2159	ShADFFa	10	638	2	112	(empty)	162	-
1476748816.894225	C3SCJs2NK3khojoB02	172.17.3.200	10567	155.19.62.84	8090	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748811.907401	CkWmpOM4rWMljGBXb	172.17.3.201	58285	155.19.62.84	9010	tcp	-	0.000327	0	0	REJ	T	F	0	Srr	1	60	2	80	(empty)	361	-
1476748756.912499	Cazwg8mLQAIt4YEMg	155.19.62.133	123	158.13.136.203	123	udp	-	0.000187	48	48	SF	F	F	0	Dd	1	76	1	76	(empty)	526	-
1476748753.492915	CmrMmN2hUSV9hC9vwk	147.248.1.35	63108	155.19.62.66	161	udp	snmp	3.445284	3074	753	SF	F	F	0	Dd	28	3858	5	893	(empty)	107	-
1476748811.937141	C9DzMa2f3W7ncGvAse	172.17.3.200	54677	155.19.62.84	8090	tcp	-	0.003177	55	1621	RSTO	T	F	225	ShADTadtffRR	13	794	12	3882	(empty)	361	-
1476748816.993941	C3japE2hRxl8VYgcUk	155.19.58.20	57996	158.13.136.71	8140	tcp	-	-	-	-	S0	F	F	0	S	1	60	0	0	(empty)	2115	-
1476748816.995821	CiT4aA1FwJy7twc579	172.17.3.200	56221	155.19.62.150	9140	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
